Start Date,Name,Area,City,Postcode,Number Of Lettings,Hmo TypesDescription,,,
2012/6/18,52 Dogfield Street, Cathays, Cardiff, CF24 4QZ,5,Shared House,,,
2012/6/19,25 Wyeverne Road, Cathays, Cardiff, CF24 4BG,4,Shared House,,,
2012/6/19,44 Malefant Street, Cathays, Cardiff, CF24 4QH,4,Shared House,,,
2012/6/20,92 Lisvane Street, Cathays, Cardiff, CF24 4LN,4,Shared House,,,
2012/6/20,91 Dogfield Street, Cathays, Cardiff, CF24 4QN,5,Shared House,,,
2012/6/21,34 Colum Road, Cathays, Cardiff, CF10 3EH,5,Shared House,,,
2012/6/21,20 Miskin Street, Cathays, Cardiff, CF24 4AQ,5,Shared House,,,
2012/6/21,59 Wyeverne Road, Cathays, Cardiff, CF24 4BG,4,Shared House,,,
2012/6/21,1 Thesiger Street, Cathays, Cardiff, CF24 4BN,5,Shared House,,,
2012/6/21,3 Richards Street, Cathays, Cardiff, CF24 4DA,9,Shared House,,,
2012/6/21,62 Malefant Street, Cathays, Cardiff, CF24 4QH,6,Shared House,,,
2012/6/25,11 Llantwit Street, Cathays, Cardiff, CF24 4AJ,10,Shared House,,,
2012/6/25,15 Fanny Street, Cathays, Cardiff, CF24 4EH,5,Shared House,,,
2012/6/27,42 May Street, Cathays, Cardiff, CF24 4EX,4,Shared House,,,
2012/6/27,7 Treorchy Street, Cathays, Cardiff, CF24 4JP,6,Shared House,,,
2012/6/28,51 Cranbrook Street, Cathays, Cardiff, CF24 4AL,4,Shared House,,,
2012/6/28,41 Wyeverne Road, Cathays, Cardiff, CF24 4BG,4,Shared House,,,
2012/6/28,10 Rhymney Terrace, Cathays, Cardiff, CF24 4DE,4,Shared House,,,
2012/7/4,23 Cranbrook Street, Cathays, Cardiff, CF24 4AL,4,Shared House,,,
2012/7/4,10 Fitzroy Street, Cathays, Cardiff, CF24 4BL,4,Shared House,,,
2012/7/6,37 Blackweir Terrace, Cathays, Cardiff, CF10 3EQ,4,Shared House,,,
2012/7/6,186 Rhymney Street, Cathays, Cardiff, CF24 4DJ,4,Shared House,,,
2012/7/6,84 Cathays Terrace, Cathays, Cardiff, CF24 4HY,3,Shared House,,,
2012/7/6,6 Darran Street, Cathays, Cardiff, CF24 4JF,4,Shared House,,,
2012/7/6,1 Spencer Street, Cathays, Cardiff, CF24 4PG,5,Shared House,,,
2012/7/6,49 Dogfield Street, Cathays, Cardiff, CF24 4QL,3,Shared House,,,
2012/7/12,25 Richards Street, Cathays, Cardiff, CF24 4DA,6,Shared House,,,
2012/7/12,6 Rhymney Street, Cathays, Cardiff, CF24 4DF,5,Shared House,,,
2012/7/12,24 Gelligaer Street, Cathays, Cardiff, CF24 4LA,5,Shared House,,,
2012/7/12,49 Angus Street, Roath, Cardiff, CF24 3LX,4,Shared House,,,
2012/7/17,12 South Luton Place, Adamsdown, Cardiff, CF24 0EX,6,Shared House,,,
2012/7/17,23 Mundy Place, Cathays, Cardiff, CF24 4BZ,9,Shared House,,,
2012/7/18,48 Clare Road, Grangetown, Cardiff, CF11 6RS,7,Shared House,,,
2012/7/19,37 Robert Street, Cathays, Cardiff, CF24 4PD,4,Shared House,,,
2012/7/24,142 Colum Road, Cathays, Cardiff, CF10 3EJ,5,Shared House,,,
2012/7/24,15 Llandough Street, Cathays, Cardiff, CF24 4AW,5,Shared House,,,
2012/7/24,25 Llandough Street, Cathays, Cardiff, CF24 4AW,5,Shared House,,,
2012/7/24,1 Wyeverne Road, Cathays, Cardiff, CF24 4BG,5,Flat in Multiple Occupation,,,
2012/7/24,81 Malefant Street, Cathays, Cardiff, CF24 4QD,3,Shared House,,,
2012/7/25,133 Woodville Road, Cathays, Cardiff, CF24 4DZ,7,Flats Section 257,,,
2012/7/25,15 Daniel Street, Cathays, Cardiff, CF24 4NX,4,Shared House,,,
2012/7/31,121 Wyeverne Road, Cathays, Cardiff, CF24 4BJ,4,Shared House,,,
2012/8/2,74a Woodville Road, Cathays, Cardiff, CF24 4EB,4,Flats Section 257,,,
2012/8/3,12 Harriet Street, Cathays, Cardiff, CF24 4BY,,Shared House,,,
2012/8/3,101 Rhymney Street, Cathays, Cardiff, CF24 4DH,,Shared House,,,
2012/8/3,23 Glenroy Street, Roath, Cardiff, CF24 3JX,,Shared House,,,
